PROV,2016_Factor,Pneumonia_Cases_2016,Pneumonia_Ratio_2016,HF_Cases_2016,HF_Ratio_2016,AMI_Cases_2016,AMI_Ratio_2016,HIP_Cases_2016,HIP_Ratio_2016,COPD_Cases_2016,COPD_Ratio_2016
50770,0.9904,184,0.980684998,278,1.069797611,118,1.048114896,170,1.151816705,190,1.006881086
50771,0.9972,113,1.063866556,99,0.991783863,24,0,4,0,99,1.006525062
50772,1.0000,8,0,4,0,10,0,16,0,7,0
50773,0.9994,31,0.979846114,68,1.017238754,14,0,5,0,55,1.006794013
50774,1.0000,0,0,0,0,0,0,0,0,0,0
50775,0.9978,29,1.037752899,17,0,11,0,9,0,28,1.002644641
50776,1.0000,10,0,9,0,1,0,3,0,7,0
60001,0.9966,451,0.944724603,424,0.911339196,318,0.932415018,329,1.104536109,327,0.913227841
60003,0.9997,187,1.014291398,221,0.905134755,85,0.952337115,325,0.905701415,215,0.916511713
60004,0.9976,102,1.020871717,89,1.019172811,57,0.99372275,70,1.028633901,88,0.945064894
60006,1.0000,130,0.906388476,96,0.910918143,71,0.933567028,215,0.863247547,76,0.935006614
60008,1.0000,78,0.950613269,61,0.954769237,15,0,53,0.98037826,40,0.966927718
60009,1.0000,327,0.877339096,328,0.827708272,199,0.960643335,151,1.001122314,269,0.972430204
60010,1.0000,462,0.977818838,333,0.883320934,148,1.00350508,1880,0.72755279,280,0.942815168
60011,0.9997,34,0.974782343,82,1.0262537,39,0.953168123,24,0,61,0.930819166
60012,1.0000,171,0.886491157,199,0.847561009,134,0.954543573,258,0.8992383,188,0.875307353
60013,1.0000,164,0.978480091,95,0.820903918,100,0.850003184,256,0.836543583,94,0.901403982
60014,0.9997,107,1.004254232,108,1.006452032,80,0.902847611,396,0.793837936,57,1.048726368
60015,0.9987,177,0.910603439,236,0.932750864,191,0.948870856,127,1.091924111,147,0.8553437
60016,1.0000,89,0.990284986,82,0.879904561,7,0,130,0.926033296,71,0.973830755
60020,1.0000,403,0.983588552,315,0.878544027,261,0.913646194,404,0.879561487,491,0.908221915
60022,1.0000,582,0.840703929,513,0.819246616,346,0.905243692,959,0.743667644,326,0.907189284
60023,0.9995,247,0.95071115,188,1.059005921,272,0.90994002,515,0.725406083,157,0.944557219
60024,0.9927,206,1.026302187,375,0.916888935,168,1.019363628,345,1.387155887,190,0.972802815
60027,0.9904,215,0.871185897,244,0.900428643,89,0.996969343,468,1.135703913,92,0.911490142
60028,0.9997,41,0.97948811,47,1.022192799,32,1.007089522,106,0.950879044,19,0
60030,0.9992,169,1.029810937,160,0.905453546,96,0.912228473,366,0.974726365,148,0.923343956
60031,1.0000,635,0.942607051,572,0.872319093,408,0.92732301,1162,0.895984504,483,0.866536143
60032,0.9960,200,0.996609988,169,1.053298591,92,1.051842747,571,1.039320467,159,0.905697865
60034,0.9992,349,0.94352532,297,0.836098485,109,0.986855011,395,0.95017795,310,1.060756256
60036,0.9980,281,0.978023393,94,1.000062649,29,0.975275041,47,1.059633825,102,0.985383054
60043,1.0000,34,0.960983236,6,0,2,0,0,0,3,0
60044,1.0000,69,0.995858016,59,0.990135217,5,0,99,0.870609896,80,0.95894672
60049,0.9997,45,0.962909464,35,1.013484877,7,0,156,0.841181066,20,0
60054,1.0000,106,0.93225835,55,0.966078925,11,0,150,0.895035153,65,0.979124013
60064,1.0000,161,0.885399427,147,0.968440474,71,0.984197136,1180,0.876876417,119,0.960107097
60065,0.9998,102,0.985272443,58,0.988745267,52,0.934686511,76,1.006774959,101,0.957957637
60071,1.0000,171,0.935929094,79,0.928838111,24,0,150,0.989636043,83,0.962707811
60075,1.0000,47,0.989068397,54,0.985998264,60,0.979378669,106,0.82631504,39,0.937797804
60076,1.0000,89,0.929597619,70,0.892489847,6,0,52,0.966249912,71,0.972363387
60096,1.0000,15,0,15,0,7,0,117,0.959418993,3,0
60100,0.9951,291,1.010609231,341,0.903000613,183,0.959964101,314,1.157027913,305,0.966968758
