"PROVIDER_NUMBER","value_2011","value_2012","value_2013","value_2014","Y12_11","Y13_12","Y14_13","change","change2","min","max","year_change"
281356,109,117,134,172,1.07339449541284,1.10876408589255,1.16421712435065,1.16742524342141,1.11545856855202,1.11545856855202,1.16742524342141,1.14838721861464
281357,388,288,366,356,0.742268041237113,0.971235794785265,0.971716157445,0.995259656732954,0.895073331155793,0.895073331155793,0.995259656732954,0.929410495645749
281358,117,142,93,89,1.21367521367521,0.891555828241729,0.9128541234143,0.941864679483943,1.00602838844375,0.941864679483943,1.00602838844375,0.981047983418376
281359,230,222,166,200,0.965217391304348,0.849552311770607,0.954481217239136,0.972594805386843,0.923083640104697,0.923083640104697,0.972594805386843,0.968241566572244
281360,424,391,357,392,0.922169811320755,0.917595298634137,0.974181931156563,0.9777508350893,0.937982347037152,0.937982347037152,0.9777508350893,0.97291729737644
281361,273,270,202,137,0.989010989010989,0.860189944097663,0.794668454413903,0.805125652980438,0.881289795840852,0.805125652980438,0.881289795840852,0.814075352842143
281362,529,479,571,568,0.905482041587902,1.03893940394335,1.02399433627538,1.03076496899269,0.989471927268879,0.989471927268879,1.03076496899269,0.994869995204124
281363,369,442,459,526,1.19783197831978,1.11530374294377,1.12543338160196,1.12742100523067,1.14618970095517,1.12742100523067,1.14618970095517,1.14172319479561
281364,396,386,431,483,0.974747474747475,1.04325636273346,1.06844125372799,1.07065914586682,1.02881503040297,1.02881503040297,1.07065914586682,1.04327084915653
281365,506,307,268,303,0.606719367588933,0.727766630709806,0.842876677885982,0.870093517298471,0.72578755872824,0.72578755872824,0.870093517298471,0.758039786127132
282000,401,378,357,315,0.942643391521197,0.943543488247608,0.922689107502197,0.923146925714037,0.936291995757001,0.923146925714037,0.936291995757001,0.924281982639904
282001,572,530,536,496,0.926573426573427,0.968020111910355,0.953590426971538,0.954422438539589,0.949394655151773,0.949394655151773,0.954422438539589,0.953117415106052
283025,249,231,204,142,0.927710843373494,0.905139275710504,0.829270721724157,0.835635385954309,0.887373613602718,0.835635385954309,0.887373613602718,0.848833377677582
283301,1,2,3,8,2,1.73205080756888,2,2.05555555555556,1.91068360252296,1.91068360252296,2.05555555555556,1.97120741800289
284009,169,188,174,201,1.11242603550296,1.0146850737133,1.05950526112183,1.06437678806323,1.06220545677936,1.06220545677936,1.06437678806323,1.06406048513813
290001,7809,7899,7860,7742,1.01152516327315,1.0032601486428,0.997131833562827,0.99719170226237,1.00397238182626,0.99719170226237,1.00397238182626,1.0024084616928
290002,79,68,70,77,0.860759493670886,0.941316073041935,0.991488948952476,0.996723752792256,0.931188171888432,0.931188171888432,0.996723752792256,0.965551062872803
290003,6848,6340,5999,6460,0.925817757009346,0.935960574095769,0.980745344924487,0.982959469691286,0.947507892009868,0.947507892009868,0.982959469691286,0.947705332362905
290005,1420,1486,1641,1734,1.04647887323944,1.07500409432565,1.06885858443759,1.06915283260531,1.06344718400089,1.06344718400089,1.06915283260531,1.06849756141611
290006,874,907,736,732,1.03775743707094,0.917662935482247,0.942612546649813,0.947929675706451,0.966010973067666,0.947929675706451,0.966010973067666,0.96387802356837
290007,2728,2600,2810,2650,0.953079178885631,1.01491805138464,0.990376901227059,0.992302969291834,0.98612471049911,0.98612471049911,0.992302969291834,0.990766481949593
290008,683,782,816,817,1.14494875549048,1.09303665819769,1.06153369566054,1.06321750218538,1.09983970311624,1.06321750218538,1.09983970311624,1.06632567707978
290009,3229,1745,4413,4599,0.540414989160731,1.16904960963174,1.12511898997196,1.37050100524846,0.94486119625481,0.94486119625481,1.37050100524846,0.994344972306505
290012,1893,1914,1712,1612,1.01109350237718,0.950991364182176,0.947846784626834,0.949048049134336,0.969977217062063,0.949048049134336,0.969977217062063,0.962169474190104
290019,4122,3961,4315,4499,0.960941290635614,1.02314316256397,1.02960189978241,1.03098486939971,1.00456211766067,1.00456211766067,1.03098486939971,1.0212359362367
290020,61,50,19,18,0.819672131147541,0.558099820673744,0.665754672824028,0.715680184066724,0.681175541548438,0.681175541548438,0.715680184066724,0.684137866009479
290021,4084,3563,3340,3112,0.872428991185113,0.904337139078426,0.913379552462934,0.913859270380909,0.896715227575491,0.896715227575491,0.913859270380909,0.912220221334858
